"agency","Program Name","Fiscal_Year"
"OPM","Vendor Payments - Office of Personnel Management","2022"
"OSC","OSC- Investigation and Prosecution of Reprisals for Whistle Blowing","2022"
"PBGC","Benefit Payments","2022"
"PBGC","Contractor Payments","2022"
"PBGC","Multiemployer Financial Assistance Payments","2022"
"PBGC","Payments to Federal Employees","2022"
"PBGC","Premium Refunds","2022"
"PC","Volunteer Service","2022"
"RRB","Employee Payments – Railroad Retirement Board","2021"
"RRB","Employee Payments – Railroad Retirement Board","2022"
"RRB","Railroad Retirement Act","2021"
"RRB","Railroad Retirement Act","2022"
"RRB","Railroad Unemployment Insurance Act","2021"
"RRB","Railroad Unemployment Insurance Act","2022"
"RRB","Vendor Payments – Railroad Retirement Board","2021"
"RRB","Vendor Payments – Railroad Retirement Board","2022"
"SBA","504 Certified Development Loans Approvals","2021"
"SBA","504 Certified Development Loans Approvals","2022"
"SBA","504 Certified Development Loans Approvals","2023"
"SBA","504 Certified Development Loans Approvals","2024"
"SBA","504 Certified Development Loans Approvals","2025"
"SBA","7(a) Loan Guarantees Approvals","2021"
"SBA","7(a) Loan Guarantees Approvals","2022"
"SBA","7(a) Loan Guarantees Approvals","2023"
"SBA","7(a) Loan Guarantees Approvals","2024"
"SBA","7(a) Loan Guarantees Approvals","2025"
"SBA","7(a) Loan Guarantees Purchases","2021"
"SBA","7(a) Loan Guarantees Purchases","2022"
"SBA","7(a) Loan Guarantees Purchases","2023"
"SBA","7(a) Loan Guarantees Purchases","2024"
"SBA","7(a) Loan Guarantees Purchases","2025"
"SBA","7(j) Technical Assistance","2022"
"SBA","Community Navigator Pilot Program","2022"
"SBA","Congressional Grants","2022"
"SBA","COVID-Economic Injury Disaster Loan (EIDL)","2021"
"SBA","COVID-Economic Injury Disaster Loan (EIDL)","2022"
"SBA","COVID-Economic Injury Disaster Loan (EIDL)","2023"
"SBA","Cybersecurity for Small Business Pilot Program","2022"
"SBA","Disaster Assistance Loans","2021"
"SBA","Disaster Assistance Loans","2022"
"SBA","Disaster Assistance Loans","2023"
"SBA","Disaster Assistance Loans","2024"
"SBA","Disaster Assistance Loans","2025"
"SBA","Economic Injury Disaster Loan Emergency Assistance (Advance)","2022"
"SBA","Economic Injury Disaster Loan Emergency Assistance (Advance)","2023"
"SBA","Federal and State Technology Partnership Program","2022"
"SBA","Growth Accelerator Fund Competition","2022"
"SBA","Microloan Program","2021"
"SBA","Microloan Program","2022"
"SBA","OED Resource Partners Training Portal (RPTP)","2022"
"SBA","Office of Women's Business Ownership (OWBO)","2021"
"SBA","Paycheck Protection Program (PPP) Loan Approvals","2022"
"SBA","Paycheck Protection Program (PPP) Loan Forgiveness","2023"
"SBA","Paycheck Protection Program (PPP) Loan Forgiveness","2024"
"SBA","Paycheck Protection Program (PPP) Loan Forgiveness","2025"
"SBA","Paycheck Protection Program (PPP) Loan Guaranty Purchases","2023"
"SBA","Paycheck Protection Program (PPP) Loan Guaranty Purchases","2024"
"SBA","Paycheck Protection Program (PPP) Loan Guaranty Purchases","2025"
"SBA","Prime Technical Assistance","2022"
"SBA","Restaurant Revitalization Fund","2022"
"SBA","Restaurant Revitalization Fund","2024"
"SBA","SBA Administrative Contracts","2022"
"SBA","SBA Administrative Payroll","2021"
"SBA","SBA Administrative Payroll","2022"
"SBA","SBA Administrative Travel","2021"
"SBA","SBA Administrative Travel","2022"
"SBA","SBA Other Administrative Spending","2022"
"SBA","Section 1112 Payments for SBA’s business loan programs","2025"
"SBA","SERVICE CORPS OF RETIRED EXECUTIVES PROGRAM (SCORE)","2021"
"SBA","Service Corps of Retired Executives Program (SCORE)","2022"
"SBA","Shuttered Venue Operators Grant Program","2022"
"SBA","Shuttered Venue Operators Grant Program","2024"
"SBA","Shuttered Venue Operators Grant Program","2025"
"SBA","Small Business Development Center (SBDC)","2021"
"SBA","Small Business Development Center (SBDC)","2022"
"SBA","Small Business Investment Companies Advances","2021"
"SBA","Small Business Investment Companies Advances","2022"
"SBA","Small Business Investment Companies Purchases","2022"
"SBA","State Trade Expansion Program","2021"
"SBA","State Trade Expansion Program","2022"
"SBA","Surety Bond Guarantees (SBG)","2021"
"SBA","Surety Bond Guarantees (SBG)","2022"
"SBA","Transition Assistance Entrepreneurship Track (Boots to Business)","2022"
"SBA","Veterans Outreach Program","2022"
"SBA","Women's Business Ownership Assistance","2022"
"SEC","Disgorgement & Penalty Distributions","2022"
"SEC","Salaries & Benefits","2022"
"SEC","Securities and Exchange Commission Agency Reporting","2021"
"SEC","Supplemental Retirement - Securities and Exchange Commission","2022"
"SEC","Vendor Payments","2022"
"SEC","Whistleblower Payments","2022"
"SSA","Disability Insurance (DI)","2021"
"SSA","Disability Insurance (DI)","2022"
"SSA","Disability Insurance (DI)","2023"
"SSA","Disability Insurance (DI)","2024"
"SSA","Disability Insurance (DI)","2025"
"SSA","Old-Age and Survivors Insurance (OASI)","2025"
"SSA","Social Security - Work Incentives Planning and Assistance Program","2021"
"SSA","Social Security - Work Incentives Planning and Assistance Program","2022"
"SSA","Supplemental Security Income (SSI)","2021"
"SSA","Supplemental Security Income (SSI)","2022"
"SSA","Supplemental Security Income (SSI)","2023"
"SSA","Supplemental Security Income (SSI)","2024"
"SSA","Supplemental Security Income (SSI)","2025"
"STATE","American Compensation","2021"
"STATE","American Compensation","2022"
"STATE","Assessed Contributions","2021"
"STATE","Assessed Contributions","2022"
"STATE","Aviation, Anticrime, Interdiction and Related Programs","2021"
"STATE","Aviation, Anticrime, Interdiction and Related Programs","2022"
"STATE","Capital and Real Property Acquisitions Programs","2021"
"STATE","Capital and Real Property Acquisitions Programs","2022"
"STATE","Citizens Exchange Program","2021"
"STATE","Citizens Exchange Program","2022"
"STATE","Construction","2021"
"STATE","Construction","2022"
"STATE","Consular and Border Security Programs","2021"
"STATE","Consular and Border Security Programs","2022"
"STATE","Consular Information Technology and Security","2022"
"STATE","Defense Contract Audit Agency","2021"
"STATE","Defense Contract Audit Agency","2022"
"STATE","Diplomatic and Support Programs","2022"
"STATE","Diplomatic Programs","2021"
"STATE","Diplomatic Programs","2022"
"STATE","Diplomatic Programs, Diplomatic Policy and Support","2021"
"STATE","Diplomatic Programs, Diplomatic Policy and Support","2022"
"STATE","Diplomatic Programs, Other Operations Programs","2021"
"STATE","Diplomatic Programs, Other Operations Programs","2022"
"STATE","Diplomatic Programs, Terrorism Related","2021"
"STATE","Diplomatic Programs, Terrorism Related","2022"
"STATE","Domestic Purchase Card Payments","2021"
"STATE","Domestic Purchase Card Payments","2022"
"STATE","Economic Support Fund","2021"
"STATE","Economic Support Fund","2022"
"STATE","Educational Programs","2021"
"STATE","Educational Programs","2022"
"STATE","Embassy Operations Programs","2021"
"STATE","Embassy Operations Programs","2022"
"STATE","Foreign Locally Employed Staff Compensation","2021"
"STATE","Foreign Locally Employed Staff Compensation","2022"
"STATE","Foreign Service Annuities","2021"
"STATE","Foreign Service Annuities","2022"
"STATE","Fulbright Program","2021"
"STATE","Fulbright Program","2022"
"STATE","Information Technology Central Fund","2022"
"STATE","International Cooperative Administrative Support Services","2021"
"STATE","International Cooperative Administrative Support Services","2022"
"STATE","International Security and Nonproliferation Related Programs","2021"
"STATE","International Security and Nonproliferation Related Programs","2022"
"STATE","International Security Programs","2021"
"STATE","International Security Programs","2022"
"STATE","Leaseholds and Functional Programs","2021"
"STATE","Leaseholds and Functional Programs","2022"
"STATE","National Endowment for Democracy","2021"
"STATE","National Endowment for Democracy","2022"
"STATE","Office of Inspector General - Department of State","2021"
"STATE","Office of Inspector General - Department of State","2022"
"STATE","Overseas Programs","2021"
"STATE","Overseas Programs","2022"
"STATE","Peace-Keeping Operations Programs","2021"
"STATE","Peace-Keeping Operations Programs","2022"
"STATE","Physical Security Programs","2021"
"STATE","Physical Security Programs","2022"
"STATE","Population Refugees and Migration Programs","2021"
"STATE","Population Refugees and Migration Programs","2022"
"STATE","Post-Assignment Travel","2021"
"STATE","Post-Assignment Travel","2022"
"STATE","Project Construction - Major Rehabilitation","2021"
"STATE","Project Construction - Major Rehabilitation","2022"
"STATE","Promote the Rule of Law","2021"
"STATE","Promote the Rule of Law","2022"
"STATE","Security - Afghanistan, Pakistan","2021"
"STATE","Security - Afghanistan, Pakistan","2022"
"STATE","Single Audits","2022"
"STATE","State","2021"
"STATE","Temporary Duty Travel","2021"
"STATE","Temporary Duty Travel","2022"
"STATE","Voluntary Contributions","2021"
"STATE","Voluntary Contributions","2022"
"STATE","Western Hemisphere Travel Initiative","2022"
"STATE","Working Capital Fund Programs","2021"
"STATE","Working Capital Fund Programs","2022"
"STATE","Worldwide Security Protection","2021"
"STATE","Worldwide Security Protection","2022"
"TREASURY","Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico","2021"
"TREASURY","Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico","2022"
"TREASURY","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses","2021"
"TREASURY","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses","2022"
"TREASURY","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund","2021"
"TREASURY","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund","2022"
"TREASURY","Community Development Financial Institutions - Emergency Support Program - Equitable Recovery Program","2022"
"TREASURY","Community Development Financial Institutions Fund - Capital Magnet Fund - Non Financial Assistance Related Payments","2021"
"TREASURY","Community Development Financial Institutions Fund - Capital Magnet Fund - Non Financial Assistance Related Payments","2022"
"TREASURY","Community Development Financial Institutions Fund - CDFI BGP Financing Fund - Non Financial Assistance Related Payments","2021"
"TREASURY","Community Development Financial Institutions Fund - CDFI BGP Financing Fund - Non Financial Assistance Related Payments","2022"
"TREASURY","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend","2021"
"TREASURY","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend","2022"
"TREASURY","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program- Bank Enterprise Award Program","2021"
"TREASURY","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program- Bank Enterprise Award Program","2022"
"TREASURY","Departmental Offices - Air Carrier Worker Support","2021"
"TREASURY","Departmental Offices - Air Carrier Worker Support","2022"
"TREASURY","Departmental Offices - Assist to Fannie Mae and Freddie Mac (FNMC) & Federal Home Loan Mortgage Corporation (FHLMC)","2021"
"TREASURY","Departmental Offices - Assist to Fannie Mae and Freddie Mac (FNMC) & Federal Home Loan Mortgage Corporation (FHLMC)","2022"
"TREASURY","Departmental Offices - Coronavirus Capital Projects Fund","2022"
"TREASURY","Departmental Offices - Cybersecurity Enhancement Account","2021"
"TREASURY","Departmental Offices - Cybersecurity Enhancement Account","2022"
