"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"NASA","2025","Heliophysics Research","","","No","No"
"NASA","2023","Heliophysics Technology","0","","Yes","No"
"NASA","2024","Heliophysics Technology","0","","No","No"
"NASA","2025","Heliophysics Technology","","","No","No"
"NASA","2021","Human Landing System","","No","Yes","No"
"NASA","2022","Human Landing System","","","No","No"
"NASA","2023","Human Landing System","0","","Yes","No"
"NASA","2024","Human Landing System","0","","No","No"
"NASA","2025","Human Landing System","","","No","No"
"NASA","2023","Human Research","0","","Yes","No"
"NASA","2024","Human Research","0","","No","No"
"NASA","2017","Human Research Program","","","No",""
"NASA","2020","Human Research Program","","NO","Yes","No"
"NASA","2021","Human Research Program","","","No","No"
"NASA","2022","Human Research Program","","","No","No"
"NASA","2023","Human Research Program","0","","Yes","No"
"NASA","2024","Human Research Program","0","","No","No"
"NASA","2025","Human Research Program","","","No","No"
"NASA","2017","Human Space Flight Operations","","","No",""
"NASA","2020","Human Space Flight Operations","","NO","Yes","No"
"NASA","2021","Human Space Flight Operations","","","No","No"
"NASA","2022","Human Space Flight Operations","","","No","No"
"NASA","2023","Human Space Flight Operations","0","","Yes","No"
"NASA","2024","Human Space Flight Operations","0","","No","No"
"NASA","2025","Human Space Flight Operations","","","No","No"
"NASA","2021","Information Technology (IT)","","No","Yes","No"
"NASA","2022","Information Technology (IT)","","","No","No"
"NASA","2023","Information Technology (IT)","0","","Yes","No"
"NASA","2024","Information Technology (IT)","0","","No","No"
"NASA","2025","Information Technology (IT)","","","No","No"
"NASA","2021","Infrastructure & Technical Capabilities","","No","Yes","No"
"NASA","2022","Infrastructure & Technical Capabilities","","","No","No"
"NASA","2023","Infrastructure & Technical Capabilities","0","","Yes","No"
"NASA","2024","Infrastructure & Technical Capabilities","0","","No","No"
"NASA","2025","Infrastructure & Technical Capabilities","","","No","No"
"NASA","2017","Innovative Partnership Program","","","No",""
"NASA","2021","Innovative Partnership Program","","","No",""
"NASA","2022","Innovative Partnership Program","","","No",""
"NASA","2023","Innovative Partnership Program","","","No",""
"NASA","2024","Innovative Partnership Program","","","No",""
"NASA","2018","Inspector General","","","No",""
"NASA","2021","Inspector General","","No","Yes","No"
"NASA","2022","Inspector General","","","No","No"
"NASA","2023","Inspector General","0","","Yes","No"
"NASA","2024","Inspector General","0","","No","No"
"NASA","2025","Inspector General","","","No","No"
"NASA","2017","Institutional CoF","","","No",""
"NASA","2018","Institutional CoF","","","No",""
"NASA","2021","Institutional CoF","","No","Yes","No"
"NASA","2022","Institutional CoF","","","No","No"
"NASA","2023","Institutional CoF","0","","Yes","No"
"NASA","2024","Institutional CoF","0","","No","No"
"NASA","2025","Institutional CoF","","","No","No"
"NASA","2018","Institutions and Management","","","No",""
"NASA","2020","Institutions and Management","","NO","Yes","No"
"NASA","2021","Institutions and Management","","No","Yes","No"
"NASA","2022","Institutions and Management","","","No","No"
"NASA","2023","Institutions and Management","0","","Yes","No"
"NASA","2024","Institutions and Management","0","","No","No"
"NASA","2025","Institutions and Management","","","No","No"
"NASA","2023","Institutions and Management / Occupancy Pool","","","No",""
"NASA","2024","Institutions and Management / Occupancy Pool","","","No",""
"NASA","2018","Integrated Aviation Systems Program","","","No",""
"NASA","2021","Integrated Aviation Systems Program","","No","Yes","No"
"NASA","2022","Integrated Aviation Systems Program","","","No","No"
"NASA","2023","Integrated Aviation Systems Program","0","","Yes","No"
"NASA","2024","Integrated Aviation Systems Program","0","","No","No"
"NASA","2025","Integrated Aviation Systems Program","","","No","No"
"NASA","2021","Integrated System Research","","","No",""
"NASA","2022","Integrated System Research","","","No",""
"NASA","2023","Integrated System Research","","","No",""
"NASA","2024","Integrated System Research","","","No",""
"NASA","2022","International Space Station","0","No","Yes","No"
"NASA","2023","International Space Station","0","","Yes","No"
"NASA","2024","International Space Station","0","","No","No"
"NASA","2025","International Space Station","","","No","No"
"NASA","2022","James Webb Space Telescope","0","No","Yes","No"
"NASA","2023","James Webb Space Telescope","","","No","No"
"NASA","2024","James Webb Space Telescope","","","No","No"
"NASA","2021","Johnson Space Center (JSC)","","","No",""
"NASA","2021","Kennedy Space Center (KSC)","","","No",""
"NASA","2021","Langley Research Center (LaRC)","","","No",""
"NASA","2020","Launch Services","","NO","Yes","No"
"NASA","2021","Launch Services","","","No","No"
"NASA","2022","Launch Services","","","No","No"
"NASA","2023","Launch Services","0","","Yes","No"
"NASA","2024","Launch Services","0","","No","No"
"NASA","2025","Launch Services","","","No","No"
"NASA","2022","Living with a Star","0","No","Yes","No"
"NASA","2023","Living with a Star","0","","Yes","No"
"NASA","2024","Living with a Star","0","","No","No"
"NASA","2025","Living with a Star","","","No","No"
"NASA","2020","Lunar Discovery and Exploration","","NO","Yes","No"
"NASA","2021","Lunar Discovery and Exploration","","No","Yes","No"
"NASA","2022","Lunar Discovery and Exploration","","","No","No"
"NASA","2023","Lunar Discovery and Exploration","0","","Yes","No"
"NASA","2024","Lunar Discovery and Exploration","0","","No","No"
"NASA","2025","Lunar Discovery and Exploration","","","No","No"
"NASA","2017","Lunar Precursor Robotic Program","","","No",""
"NASA","2021","Lunar Precursor Robotic Program","","","No",""
"NASA","2022","Mars Exploration","0","No","Yes","No"
"NASA","2023","Mars Exploration","0","","Yes","No"
"NASA","2024","Mars Exploration","0","","No","No"
"NASA","2025","Mars Exploration","","","No","No"
"NASA","2022","Mars Sample Return","0","No","Yes","No"
"NASA","2023","Mars Sample Return","0","","Yes","No"
"NASA","2024","Mars Sample Return","0","","No","No"
"NASA","2025","Mars Sample Return","","","No","No"
"NASA","2021","Marshall Space Flight Center (MSFC)","","","No",""
"NASA","2021","Mission Enabling Services","","No","Yes","No"
"NASA","2022","Mission Enabling Services","","","No","No"
"NASA","2023","Mission Enabling Services","0","","Yes","No"
"NASA","2024","Mission Enabling Services","0","","No","No"
"NASA","2025","Mission Enabling Services","","","No","No"
"NASA","2023","Moon and Mars Architecture","0","","Yes","No"
"NASA","2024","Moon and Mars Architecture","0","","No","No"
"NASA","2025","Moon and Mars Architecture","","","No","No"
"NASA","2021","NASA Headquarters (NASA HQ) / Jet Propulsion Laboratory (JPL)","","","No",""
"NASA","2021","NASA Headquarters (NASA HQ) /Jet Propulsion Laboratory (JPL)","","","No",""
"NASA","2021","NASA Shared Services Center (NSSC)","","","No",""
"NASA","2018","National Historic Preservation","","","No",""
"NASA","2021","National Historic Preservation","","","No",""
"NASA","2022","National Historic Preservation","","","No",""
"NASA","2023","National Historic Preservation","0","","Yes","No"
"NASA","2024","National Historic Preservation","0","","No","No"
"NASA","2025","National Historic Preservation","","","No","No"
"NASA","2023","National Space Grant","","","No",""
"NASA","2024","National Space Grant","","","No",""
"NASA","2022","New Frontiers","0","No","Yes","No"
"NASA","2023","New Frontiers","0","","Yes","No"
"NASA","2024","New Frontiers","0","","No","No"
"NASA","2025","New Frontiers","","","No","No"
"NASA","2021","Office of Chief Financial Officer - Policy Grants MDL Sustained","","","No",""
"NASA","2021","Office of Chief Financial Officer - Policy Grants Mission Design Lab (MDL) Sustained","","","No",""
"NASA","2021","Office of Inspector General - Office of Audits","","","No",""
"NASA","2021","Office of Inspector General - Office of Investigations","","","No",""
"NASA","2021","Office of Procurement - Incurred Cost MDL Sustained","","","No",""
"NASA","2021","Office of Procurement - Incurred Cost Mission Design Lab (MDL) Sustained","","","No",""
"NASA","2022","Orion Program","0","No","Yes","No"
"NASA","2023","Orion Program","0","","Yes","No"
"NASA","2024","Orion Program","0","","No","No"
"NASA","2025","Orion Program","","","No","No"
"NASA","2022","Outer Planets and Ocean Worlds","0","No","Yes","No"
"NASA","2023","Outer Planets and Ocean Worlds","0","","Yes","No"
"NASA","2024","Outer Planets and Ocean Worlds","0","","No","No"
"NASA","2025","Outer Planets and Ocean Worlds","","","No","No"
"NASA","2022","Physics of the Cosmos","0","No","Yes","No"
"NASA","2023","Physics of the Cosmos","0","","Yes","No"
"NASA","2024","Physics of the Cosmos","0","","No","No"
"NASA","2025","Physics of the Cosmos","","","No","No"
"NASA","2021","Planetary Defense","","No","Yes","No"
"NASA","2022","Planetary Defense","","","No","No"
"NASA","2023","Planetary Defense","0","","Yes","No"
"NASA","2024","Planetary Defense","0","","No","No"
"NASA","2025","Planetary Defense","","","No","No"
"NASA","2022","Planetary Science Research","0","No","Yes","No"
"NASA","2023","Planetary Science Research","0","","Yes","No"
"NASA","2024","Planetary Science Research","0","","No","No"
"NASA","2025","Planetary Science Research","","","No","No"
"NASA","2018","Prizes & Challenges","","","No",""
"NASA","2021","Prizes & Challenges","","","No",""
"NASA","2022","Prizes & Challenges","","","No",""
"NASA","2023","Prizes & Challenges","","","No",""
"NASA","2024","Prizes & Challenges","","","No",""
"NASA","2022","Radioisotope Power","0","No","Yes","No"
"NASA","2023","Radioisotope Power","0","","Yes","No"
"NASA","2024","Radioisotope Power","0","","No","No"
"NASA","2025","Radioisotope Power","","","No","No"
"NASA","2021","Reimbursable (RMB) - ST Programmatic Reimbursables","","","No",""
"NASA","2022","Reimbursable (RMB) - ST Programmatic Reimbursables","","","No",""
"NASA","2023","Reimbursable (RMB) - ST Programmatic Reimbursables","","","No",""
"NASA","2024","Reimbursable (RMB) - ST Programmatic Reimbursables","","","No",""
"NASA","2020","Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursables","","NO","Yes","No"
"NASA","2021","Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursables","","","No","No"
"NASA","2022","Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursables","","","No","No"
"NASA","2023","Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursables","","","No","No"
"NASA","2024","Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Institutional Reimbursables","","","No","No"
"NASA","2018","Reimbursable (RMB) Center for Advanced Space Propulsion (CASP) Institution Reimbursables","","","No",""
"NASA","2021","Reimbursable (RMB) Center for Advanced Space Propulsion (CASP) Institution Reimbursables","","","No",""
"NASA","2018","Reimbursable (RMB) Education (EDUC) Programmatic Reimbursables","","","No",""
"NASA","2020","Reimbursable (RMB) Education (EDUC) Programmatic Reimbursables","","NO","Yes","No"
"NASA","2021","Reimbursable (RMB) Education (EDUC) Programmatic Reimbursables","","","No","No"
"NASA","2022","Reimbursable (RMB) Education (EDUC) Programmatic Reimbursables","","","No","No"
"NASA","2023","Reimbursable (RMB) Education (EDUC) Programmatic Reimbursables","","","No","No"
"NASA","2024","Reimbursable (RMB) Education (EDUC) Programmatic Reimbursables","","","No","No"
"NASA","2018","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Institutional Reimbursables","","","No",""
"NASA","2021","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Institutional Reimbursables","","","No",""
"NASA","2022","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Institutional Reimbursables","","","No",""
"NASA","2023","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Institutional Reimbursables","","","No",""
"NASA","2020","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Programmatic Reimbursables","","NO","Yes","No"
"NASA","2021","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Programmatic Reimbursables","","","No","No"
"NASA","2022","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Programmatic Reimbursables","","","No","No"
"NASA","2023","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Programmatic Reimbursables","0","","Yes","No"
"NASA","2024","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Programmatic Reimbursables","0","","No","No"
"NASA","2017","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Space Technology Reimbursables","","","No",""
"NASA","2021","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Space Technology Reimbursables","","","No",""
