"Agency","Program Name","Assistance Listing Number"
"HUD","Housing - Rental Housing Assistance Program (RHAP) - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program- Section 236 - Housing for Persons with Disability- Section 811","14.197"
"HUD","Housing - Rental Housing Assistance Program- Section 236","14.103"
"HUD","Housing - Section 811 Housing for Persons with Disabilities (PRAC and Capital Advance)","14.181"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.914"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.9"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.901"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.902"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.905"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.906"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.912"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.913"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.92"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","14.921"
"HUD","Policy Development and Research - Research and Technology","14.506"
"HUD","Policy Development and Research - Research and Technology","14.536"
"HUD","Policy Development and Research - Research and Technology","14.537"
"HUD","Public and Indian Housing - Choice Neighborhoods Initiative","14.889"
"HUD","Public and Indian Housing - Choice Neighborhoods Initiative","14.892"
"HUD","Public and Indian Housing - Choice Neighborhoods Initiative","14.85"
"HUD","Public and Indian Housing - Family Self-Sufficiency Program","14.896"
"HUD","Public and Indian Housing - Family Self-Sufficiency Program","14.895"
"HUD","Public and Indian Housing - Family Self-Sufficiency Program","14.87"
"HUD","Public and Indian Housing - Indian Community Development Block Grants","14.862"
"HUD","Public and Indian Housing - Native American Housing Block Grants","14.867"
"HUD","Public and Indian Housing - Native American Housing Block Grants","14.869"
"HUD","Public and Indian Housing - Native American Housing Block Grants","14.893"
"HUD","Public and Indian Housing - Native American Housing Block Grants","14.862"
"HUD","Public and Indian Housing - Native American Housing Block Grants","14.85"
"HUD","Public and Indian Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","14.856"
"HUD","Public and Indian Housing - Public Housing Capital Fund","14.88"
"HUD","Public and Indian Housing - Public Housing Capital Fund","14.888"
"HUD","Public and Indian Housing - Public Housing Capital Fund","14.872"
"HUD","Public and Indian Housing - Public Housing Capital Fund","14.895"
"HUD","Public and Indian Housing - Public Housing Capital Fund","14.87"
"HUD","Public and Indian Housing - Public Housing Capital Fund","14.85"
"HUD","Public and Indian Housing - Public Housing Operating Fund","14.85"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","14.899"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","14.879"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","14.881"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","14.856"
"HUD","Public and Indian Housing - Rental Housing Assistance Program (RHAP) - Tenant Based Rental Assistance Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","14.871"
"HUD","Salaries and Expenses","14.871"
"HUD","Salaries and Expenses","14.872"
"HUD","Housing - Green and Resilient Retrofit Program (GRRP)","14.021"
"HUD","Federal Housing Administration - Title I Claims","14.11"
"HUD","Federal Housing Administration - Title I Claims","14.162"
"HUD","Community Planning and Development - Community Project Funding - Community Project/Congressional Funding","14.251"
"HUD","Housing - College Housing Debt Service Grants","14.101"
"HUD","Housing - Manufactured Housing","14.171"
"HUD","Public and Indian Housing - Native Hawaiian Housing Block Grants","14.873"
"HUD","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","14.866"
"HUD","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","14.878"
"HUD","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","14.892"
"HUD","Community Planning and Development - Appalachian Regional Commission (ARC) Projects","14.25"
"HUD","Community Planning and Development - Economic Development Initiative (EDI)/Brownfields Redevelopment Economic Development Initiatives (BEDI)","14.232"
"HUD","Community Planning and Development - Economic Development Initiative (EDI)/Brownfields Redevelopment Economic Development Initiatives (BEDI)","14.246"
"HUD","Community Planning and Development - Economic Development Initiative (EDI)/Brownfields Redevelopment Economic Development Initiatives (BEDI)","14.251"
"HUD","Community Planning and Development - Nehemiah Housing Opportunity Grants","14.171"
"HUD","Community Planning and Development - Neighborhood Stabilization Program","14.256"
"HUD","Community Planning and Development - Neighborhood Stabilization Program","14.218"
"HUD","Housing - Housing for the Elderly or Handicapped- DL Liquidating Acct- Section 202","14.157"
"HUD","Policy Development and Research - PDR Managed Technical Assistance Grants","14.259"
"HUD","Policy Development and Research - PDR Managed Technical Assistance Grants","14.261"
"HUD","Policy Development and Research - PDR Managed Technical Assistance Grants","14.239"
"IAF","IAF Assistance for Overseas Programs1","85.75"
"IAF","IAF Assistance for Overseas Programs2","85.751"
"IMLS","Grants to States","45.31"
"IMLS","Laura Bush 21st Century Librarian Program","45.313"
"IMLS","Museums for America","45.301"
"IMLS","National Leadership Grants for Libraries","45.312"
"IMLS","National Leadership Grants for Museums","45.312"
"IMLS","21st Century Museum Professional Program","45.032"
"IMLS","American Latino Museum Internship and Fellowship Initiative","45.031"
"IMLS","Museum Grants for African American History and Culture","45.309"
"IMLS","Museum Grants for American Latino History and Culture","45.033"
"IMLS","Native American and Native Hawaiian Library Services","45.311"
"IMLS","Native American/Native Hawaiian Museum Services Program ","45.308"
"JUFC","Japan-U.S. Friendship Commission Grants","90.3"
"LOC","Teaching with Primary Sources","42.01"
"LOC","Library of Congress Grants","42.011"
"LOC","Connecting Communities Digital Initiative","42.012"
"LOC","Of the People: Community Collections Grants","42.013"
"LOC","Affiliate Centers for the Book Programming Grants","42.014"
"LOC","Lewis-Houghton Civics and Democracy Initiative","42.015"
"MCC","MCC Foreign Assistance for Overseas Programs","85.002"
"MUSP","Morris K. Udall Fellowship Program","85.401"
"MUSP","Morris K. Udall Native American Congressional Internship Program","85.402"
"MUSP","Morris K. Udall Scholarship Program","85.4"
"NARA","National Historical Publications and Records Commission (NHPRC) Grants","89.003"
"NASA","Advanced Air Vehicles Program","43.002"
"NASA","Advanced Exploration Systems","43.003"
"NASA","Aerosciences Evaluation and Test Capabilities","43.002"
"NASA","Agency Technical Authority","43.009"
"NASA","Airspace Operations and Safety Program","43.002"
"NASA","Applied Sciences","43.001"
"NASA","Astrophysics Explorer","43.001"
"NASA","Astrophysics Research","43.001"
"NASA","Biological and Physical Sciences","43.001"
"NASA","Safety Engineering, Safety, & Operations","43.009"
"NASA","Commercial Crew Program","43.007"
"NASA","Commercial LEO Development","43.007"
"NASA","Communication Services Program","43.007"
"NASA","Cosmic Origins","43.001"
"NASA","Crew and Cargo Program","43.007"
"NASA","Discovery","43.001"
"NASA","Early Stage Innovation and Partnerships","43.012"
"NASA","Earth Science Data Systems","43.001"
"NASA","Earth Science Research","43.001"
"NASA","Earth Science Technology","43.001"
"NASA","Earth System Science Pathfinder","43.001"
"NASA","Earth Systematic Missions","43.001"
"NASA","Enhanced Use Lease Program","43.009"
"NASA","Environmental Compliance and Restoration","43.009"
"NASA","Exoplanet Exploration","43.001"
"NASA","Exploration CoF","43.009"
"NASA","Exploration Ground Systems","43.003"
"NASA","Gateway","43.003"
"NASA","Heliophysics Explorer Program","43.001"
"NASA","Heliophysics Research","43.001"
"NASA","Heliophysics Technology","43.001"
"NASA","Human Landing System","43.003"
"NASA","Human Research Program","43.007"
"NASA","Human Space Flight Operations","43.007"
"NASA","Information Technology (IT)","43.009"
"NASA","Infrastructure & Technical Capabilities","43.009"
"NASA","Institutional CoF","43.009"
"NASA","Institutions and Management","43.009"
"NASA","Integrated Aviation Systems Program","43.002"
"NASA","International Space Station","43.007"
"NASA","Launch Services","43.007"
"NASA","Living with a Star","43.001"
"NASA","Lunar Discovery and Exploration","43.001"
"NASA","Mars Exploration","43.001"
"NASA","Mars Sample Return","43.001"
"NASA","Mission Enabling Services","43.009"
"NASA","Moon and Mars Architecture","43.003"
"NASA","National Historic Preservation","43.009"
"NASA","New Frontiers","43.001"
"NASA","Orion Program","43.003"
"NASA","Outer Planets and Ocean Worlds","43.001"
"NASA","Physics of the Cosmos","43.001"
"NASA","Planetary Defense","43.001"
"NASA","Planetary Science Research","43.001"
"NASA","Radioisotope Power","43.001"
"NASA","RMB-ARMD Programmatic Reimbursables","43.009"
"NASA","RMB-SOMD Programmatic Program","43.009"
"NASA","Rocket Propulsion Test","43.007"
"NASA","Science CoF","43.009"
"NASA","STEM Engagement","43.008"
"NASA","SBIR and STTR","43.012"
"NASA","Solar Terrestrial Probes","43.001"
"NASA","Space Communications and Navigation","43.007"
"NASA","Space Launch System","43.003"
"NASA","Space Operations CoF","43.009"
"NASA","Space Weather","43.001"
"NASA","Technology Demonstration","43.012"
"NASA","Technology Maturation","43.012"
"NASA","Transformative Aero Concepts Program","43.002"
"NASA","xEVA and Human Surface Mobility Program","43.003"
"NASA","Future Systems","43.003"
"NASA","Responsive Science Initiative (RSI)","43.001"
"NASA","RMB-ESMD Programmatic Program","43.009"
"NASA","RMB-SCMD Programmatic Program","43.009"
"NASA","RMB-SSMS Institution","43.009"
"NBRC","Northern Border Regional Development","90.601"
